[37.37s -> 39.17s]  Hello, everyone. Hello.
[6055.62s -> 6058.50s]  Permanent stat boost to all characters on the realm.
[6062.28s -> 6064.48s]  Maximum capacity of murmuring all balls.
[6067.96s -> 6072.74s]  Blame and alter of Lilith.
[6072.74s -> 6080.98s]  OK, interesting.
[6080.98s -> 6084.16s]  This is permanent reward.
[6084.16s -> 6086.56s]  Lucky commoner player title.
[6089.15s -> 6093.62s]  All right, let's keep going.
[6095.40s -> 6105.94s]  Very loud.
[6105.94s -> 6107.94s]  Guys, it's still so loud.
[6107.94s -> 6109.98s]  Every time I restart the game, it gets louder.
[6115.27s -> 6137.92s]  Greetings, gold Thunder Bear out of manor.
[6145.67s -> 6150.47s]  It's an elite.
[6150.47s -> 6157.66s]  Can I say how do I sell stuff?
[6157.66s -> 6159.18s]  This looks like a granny like.
[6159.18s -> 6160.30s]  I can assure you it's not.
[6160.30s -> 6162.50s]  Nancy Drew is more a granny like than this.
[6163.80s -> 6182.04s]  That's actually in fact, all of your hits are crits.
[6191.06s -> 6209.67s]  Cool. Going fast to random dungeon.
[6210.58s -> 6213.26s]  Sellers are small chambers that can contain a wide range of content.
[6215.26s -> 6228.50s]  Let's check it out.
[6228.50s -> 6236.54s]  Yeah. Yeah.
[6236.54s -> 6238.74s]  Turtles have his engaged skeleton captain.
[6254.35s -> 6256.06s]  Yeah, I'm not.
[6267.86s -> 6270.71s]  OK, that was just like an elite.
[6270.71s -> 6273.64s]  Anything else in here?
[6273.64s -> 6275.88s]  What do you think Nancy Drew's internal temperature is right now?
[6276.60s -> 6290.41s]  Probably low. Slain militia.
[6291.21s -> 6293.99s]  Ooh, try salvage.
[6293.99s -> 6297.37s]  Just as soon as we hold the salvage button, right?
[6297.37s -> 6300.69s]  Because you can do that, can't you own a mark as junk?
[6304.07s -> 6309.66s]  Is this junk?
[6309.66s -> 6314.86s]  Hold on a second.
[6314.86s -> 6316.58s]  Fifty two damage a second.
[6316.58s -> 6320.44s]  This is a staff.
[6320.44s -> 6325.82s]  You definitely should put this on.
[6325.82s -> 6328.14s]  This is more of a core damage.
[6331.21s -> 6354.34s]  Yeah, I'm going to this way.
[6354.34s -> 6356.79s]  Oh, man. Get Elden Ringed.
[6359.73s -> 6373.98s]  Is this OK?
[6373.98s -> 6376.14s]  Resistance to all one max health.
[6376.14s -> 6382.70s]  Better than what? Better than nothing.
[6398.50s -> 6401.06s]  He's he's in Green's Omega law.
[6403.59s -> 6405.91s]  I'm going to I just started the game.
[6423.06s -> 6425.14s]  I like fire. It's good.
[6425.14s -> 6440.80s]  Like the big splash challenge.
[6440.80s -> 6454.18s]  Swift Hunter was I mean, I'm down.
[6468.51s -> 6473.23s]  Green is frozen.
[6473.23s -> 6476.02s]  I think we're fine. We try.
[6479.38s -> 6490.95s]  Oh, Nancy is.
[6490.95s -> 6513.83s]  Yeah, I see what you mean. I see.
[6513.83s -> 6515.55s]  I got it. I think I'm going the right way, right?
[6515.55s -> 6526.02s]  Group up, group up, group up.
[6526.02s -> 6530.14s]  Am I the only streamer doing fire?
[6530.14s -> 6541.00s]  If not, I'll change.
[6541.00s -> 6551.64s]  What else is down here?
[6551.64s -> 6553.54s]  Is anybody else streaming this?
[6553.54s -> 6555.58s]  I think a lot of people were today, weren't they?
[6559.57s -> 6563.96s]  I always go back up.
[6567.13s -> 6577.07s]  All right. Find the hermit's cabin.
[6577.07s -> 6580.63s]  Herbs and ore can be found throughout the world and are used by artisans
[6580.63s -> 6586.69s]  for a variety of functions.
[6586.69s -> 6595.74s]  We wait as this material of this, like, OK.
[6600.70s -> 6604.66s]  Lightberry is crafting.
[6605.54s -> 6609.68s]  This is literally for tonight.
[6609.68s -> 6613.54s]  Quite for tonight.
[6613.54s -> 6616.34s]  I don't mind crafting that light.
[6616.34s -> 6618.10s]  Crafting is fun.
[6618.10s -> 6619.54s]  I think it's cool.
[6619.54s -> 6625.30s]  I don't mind it.
[6625.30s -> 6630.50s]  I actually do not mind random busy work in game sometimes.
[6630.50s -> 6641.22s]  I don't really mind it.
[6641.22s -> 6643.42s]  Now, this is the kind of thing you just hop in a discord call
[6643.42s -> 6655.30s]  and it's just like you just doing it doing what?
[6655.66s -> 6658.30s]  Picking up herbs and spices and more.
[6661.05s -> 6666.06s]  And you make like a like a steak.
[6666.06s -> 6670.00s]  It's my one friend.
[6670.00s -> 6674.27s]  I have one friend.
[6674.27s -> 6681.38s]  OK, or picking up herbs with the bros.
[6683.66s -> 6698.71s]  Yeah, sometimes you just pick up herbs with the bros.
[6698.71s -> 6701.06s]  This is better.
[6701.06s -> 6702.10s]  Will. OK, hold on.
[6702.10s -> 6704.89s]  I should look at this first.
[6704.89s -> 6710.13s]  Strength is armor.
[6710.13s -> 6712.37s]  This is skill damage and resistance.
[6714.10s -> 6716.46s]  This is resource, Jen.
[6716.46s -> 6726.31s]  Healing received and what is overpower damage overpower?
[6727.15s -> 6731.33s]  These are new terms.
[6731.33s -> 6734.57s]  The lucky hits overpower damage.
[6734.57s -> 6737.26s]  This is new. I don't know.
[6737.26s -> 6747.44s]  Aspects are going to run out of inventory space.
[6750.35s -> 6757.52s]  Whatever is still glowing.
[6757.52s -> 6767.47s]  How much you throwing in for the herbs?
[6767.47s -> 6768.67s]  You can play pizza tower some more.
[6768.67s -> 6772.41s]  Probably not. Not on stream.
[6772.41s -> 6775.05s]  I think I got exactly what I wanted out of that game and it was fantastic.
[6775.05s -> 6778.46s]  So I'm not really the type to get
[6779.18s -> 6781.46s]  you know, P rank or S rank on every level.
[6781.46s -> 6784.24s]  So I got what I wanted out of it.
[6784.24s -> 6796.02s]  Is anyone here?
[6796.02s -> 6797.10s]  No, I got it first try.
[6797.10s -> 6798.90s]  I wanted to like look around.
[6798.90s -> 6801.06s]  I wanted to Nancy Drew, by the way.
[6801.06s -> 6802.54s]  Nancy, how are you doing?
[6802.54s -> 6822.40s]  You all right? We're fine.
[6822.40s -> 6834.17s]  I didn't mean to click twice.
[6834.17s -> 6848.40s]  He's all right. Herbs, mushrooms, organs, healers, tools.
[6856.64s -> 6860.22s]  I suppose anything in it.
[6860.22s -> 6863.20s]  Strange skull.
[6865.26s -> 6869.98s]  Young freshly turned easy kill
[6870.89s -> 6873.99s]  further south than the others.
[6873.99s -> 6880.64s]  They're spreading. OK.
[6919.35s -> 6921.79s]  If you're going to trespass into my home,
[6925.46s -> 6928.98s]  rifle through my things.
[6928.98s -> 6932.29s]  And at least have the decency to join me for supper.
[6933.77s -> 6938.06s]  Bloody hungry.
[6938.06s -> 6941.46s]  It's not the it's not the response.
[6941.46s -> 6944.24s]  I would think would happen.
[6944.24s -> 6947.86s]  That's quite the story.
[6947.90s -> 6950.86s]  I wish it wasn't true, but it is.
[6954.46s -> 6957.10s]  Why did I have that vision?
[6957.10s -> 6959.62s]  Thank those friendly villages.
[6959.62s -> 6966.81s]  They gave you the blood of Lewis, the blood of a demon.
[6967.76s -> 6971.87s]  Not just any demon, the daughter of hatred,
[6972.51s -> 6975.74s]  the mother of sanctuary.
[6975.74s -> 6979.04s]  She was banished ages ago.
[6979.04s -> 6981.48s]  But this world is her creation.
[6985.29s -> 6987.85s]  It was prophesied she would come back.
[6987.85s -> 6990.95s]  We know this person's name won't.
[6990.95s -> 6993.65s]  That's the question.
[6993.65s -> 6996.81s]  Sanctuary has always been trapped amid the eternal conflict.
[6998.61s -> 7000.89s]  A war between angels and demons.
[7000.89s -> 7004.46s]  But Lilith serves neither side.
[7005.10s -> 7008.34s]  She has her own plans for us and me.
[7009.39s -> 7012.95s]  And my people that have booming low voices like this.
[7013.23s -> 7015.51s]  I wonder what happens if you pitch this down.
[7018.83s -> 7020.15s]  What it sound like.
[7020.15s -> 7023.23s]  Use it. Find out what she's after.
[7026.38s -> 7028.92s]  Then we're in this together.
[7028.92s -> 7031.46s]  Rest while you can.
[7031.46s -> 7033.34s]  Then we'll start to kill the shot.
[7033.34s -> 7035.46s]  Do it. Oh, I don't.
[7035.46s -> 7036.98s]  Reporting software right here.
[7036.98s -> 7038.98s]  Record the audio.
[7038.98s -> 7054.43s]  We'll all company Lorath to kill Vashad.
[7056.16s -> 7058.28s]  Oh, wait, I have new points tonight.
[7059.62s -> 7059.94s]  All right.
[7059.94s -> 7063.10s]  Should I be boring Barry and just keep doing fireball?
[7063.10s -> 7071.34s]  Or should I keep should I do something else?
[7071.34s -> 7077.71s]  That's kind of good.
[7077.71s -> 7080.51s]  The radius increases for distance traveled.
[7082.94s -> 7085.07s]  That's pretty good.
[7085.15s -> 7087.11s]  Keep it hot. Keep it hot.
[7087.11s -> 7102.46s]  OK, it's going to go boring, Barry.
[7102.46s -> 7104.54s]  Herbs and spices and jewels and chips.
[7108.31s -> 7130.44s]  I'm OK doing boring, Barry. It just works.
[7130.44s -> 7132.36s]  I honestly don't.
[7132.36s -> 7149.92s]  I can't hear what he's saying.
[7149.92s -> 7162.47s]  Ah, Shaman.
[7162.47s -> 7163.71s]  Jerma changes the audio mixing.
[7163.71s -> 7168.13s]  Jerma, I can't hear what he says.
[7168.13s -> 7174.82s]  I mean, the audio mixing is in line with the way that you know what I'm saying?
[7175.66s -> 7176.86s]  Like, I should be able to hear it fine.
[7176.86s -> 7179.18s]  Greetings, greetings, greetings.
[7179.18s -> 7180.26s]  The audio mixing was fine.
[7180.26s -> 7181.94s]  It's just, you know what?
[7181.94s -> 7184.34s]  Time that person out for one full minute.
[7188.16s -> 7190.84s]  No, OK, it's the effects volume that has to come down.
[7191.94s -> 7194.78s]  Dialogue come up, effects come down, music up a little,
[7195.22s -> 7198.74s]  master volume up a little bit, ambient down, dialogue up.
[7199.86s -> 7216.77s]  There. Perfect.
[7216.77s -> 7218.21s]  Out of mana.
[7218.21s -> 7219.45s]  All right. Now that's too loud.
[7219.45s -> 7222.26s]  He's talking into my ears.
[7222.26s -> 7226.06s]  He just leaned over from behind my chair out of mana.
[7227.18s -> 7229.46s]  Dude, get away from me.
[7250.62s -> 7261.08s]  Out of mana.
[7261.08s -> 7264.96s]  I just imagine there's a fucking actor in the room right now.
[7264.96s -> 7270.12s]  Just the angel in.
[7270.12s -> 7271.68s]  I'm sure you've heard the Cathedral of Life.
[7271.68s -> 7274.63s]  It's dressed as a sorcerer.
[7274.63s -> 7276.70s]  Well, he's real.
[7276.70s -> 7280.18s]  An angel walks across his arms, pacing back and forth to cloak on.
[7280.18s -> 7282.18s]  Like Lilith is here.
[7282.18s -> 7283.22s]  Blood will flow.
[7283.22s -> 7286.23s]  I wouldn't have done it like that ancient enemies.
[7286.23s -> 7290.07s]  They'll drag the whole damn world into their feud unless we can stop it.
[7293.43s -> 7294.95s]  Let's not linger.
[7294.95s -> 7296.75s]  Keovashad lies just ahead.
[7296.75s -> 7310.58s]  Roads blocked should clear up when the storm has passed.
[7324.18s -> 7327.31s]  Oh, it's a town.
[7327.31s -> 7329.35s]  You need to have an original thought right now.
[7329.35s -> 7331.55s]  Hold. What are you talking about?
[7331.55s -> 7337.70s]  We have no time for this.
[7337.70s -> 7339.56s]  What does that mean?
[7339.56s -> 7342.60s]  To answer Keovashad, you must perform a cleansing ritual.
[7343.16s -> 7346.99s]  Meaningless gesture, but some people take comfort in it.
[7346.99s -> 7349.29s]  How dare you?
[7349.29s -> 7351.41s]  Just let him through, lad.
[7351.41s -> 7356.01s]  I've tried for years to get Lorath to do the ritual.
[7356.01s -> 7358.81s]  Fine, but this one stays.
[7358.81s -> 7361.20s]  I'll meet you inside.
[7364.11s -> 7371.43s]  Take a piece of holy cedar wood from the shrine and inscribe it with the sin which troubles you.
[7371.43s -> 7374.55s]  Then cast it into the brazier.
[7374.55s -> 7381.11s]  As the fire burns the wood, so too will the light burn away your sin.
[7381.11s -> 7386.39s]  I mean, I'm fire, so...
[7386.39s -> 7394.05s]  Let's do it.
[7394.05s -> 7401.86s]  Okay, let's inscribe fear into the wood, anger, pride, greed, or just scribble all over it.
[7401.86s -> 7404.46s]  I don't think I want to do this because what if I write something...
[7404.46s -> 7412.46s]  I don't know what it says and it's something really bad and I don't want to, like, have that be burnt into my character.
[7412.46s -> 7415.69s]  Hmm. No.
[7415.69s -> 7420.92s]  Hmm. Hmm.
[7421.00s -> 7421.72s]  Greed.
[7421.72s -> 7428.23s]  Greed.
[7428.23s -> 7438.90s]  That means I get extra gold for kill, right?
[7438.90s -> 7441.22s]  It's probably some bonus, right? It's probably a money bonus.
[7441.22s -> 7447.19s]  Good. You must feel as though a great weight has been lifted from you.
[7447.19s -> 7453.90s]  Welcome to Kyova Shard.
[7453.90s -> 7461.41s]  Okay.
[7461.41s -> 7466.89s]  Well, a man that old has lived through some dark days.
[7466.89s -> 7468.33s]  Explains why he's so cross.
[7468.33s -> 7469.69s]  Doesn't do anything?
[7469.69s -> 7474.26s]  Oh, there.
[7474.26s -> 7479.38s]  Okay, it's time to take a BRB because I'm going to come back and I'm going to give you a little bit of Grotto Beast's info.
[7479.38s -> 7484.39s]  Not long. Just going to give you a couple of quick little pieces of information.
[7484.39s -> 7488.41s]  It'll take literally two minutes.
[7488.41s -> 7490.93s]  And by that I mean I'll be back. I'm not leaving yet.
[7490.93s -> 7497.13s]  I'm going to leave in about 20 minutes.
[7497.13s -> 7501.77s]  So just be aware that in like 20 minutes I'm going to leave and then I'll come back with some info.
[7501.77s -> 7505.97s]  There you go. Sorry about that. I had it completely wrong.
[7505.97s -> 7508.89s]  It's my fault. What a bad announcement.
[7508.89s -> 7513.11s]  So what did you write on that piece of wood?
[7513.11s -> 7517.51s]  Something about greed or gluttony perhaps?
[7517.51s -> 7522.34s]  It matters little, I suppose.
[7522.34s -> 7523.14s]  Where are you going?
[7523.14s -> 7527.15s]  I'm off to the dry steps in search of that pale man from your vision.
[7527.15s -> 7532.47s]  I must know what party plays in all this.
[7532.47s -> 7536.91s]  But first, I need you to retrieve something of mine while I finish my negotiations.
[7536.91s -> 7539.31s]  A merchant in the center of the city has it.
[7539.31s -> 7551.94s]  Just tell him I sent you.
[7551.94s -> 7565.40s]  Stable merchant. Give me one sec.
[7565.40s -> 7567.80s]  Drink water. I've got a big ass water right here.
[7567.80s -> 7571.16s]  I've been drinking it the whole time.
[7571.16s -> 7587.76s]  When I go BRB, I'll refill the water. Don't worry. Don't worry. I'm good.
[7587.76s -> 7602.39s]  I'm hydrated. I promise.
[7602.39s -> 7614.94s]  OK. The mod said do slash dance.
[7614.94s -> 7622.90s]  Really? I didn't do anything.
[7622.90s -> 7626.29s]  Pratoos. Sway back.
[7626.29s -> 7634.78s]  And somewhere else to get warm. I was here first.
[7634.78s -> 7641.23s]  OK, so this is this seems like a big hub town then.
[7641.27s -> 7648.51s]  Got you. OK, wait, waypoint.
[7648.51s -> 7654.53s]  Our waypoints. What about town portals?
[7654.53s -> 7665.47s]  Elections, plan, majority clan.
[7665.47s -> 7667.70s]  Oh, wait, this is blacksmith.
[7667.70s -> 7670.14s]  Waypoints allow you to fast travel freely across Sanctuary.
[7670.14s -> 7672.90s]  Yep. Activate them.
[7672.90s -> 7678.11s]  You can earn renown by completing various activities across the continent.
[7678.11s -> 7680.67s]  Obtaining renown will grant rewards and certain thresholds.
[7680.67s -> 7687.98s]  View the status of your renown for each region from the map.
[7687.98s -> 7689.30s]  What will it be?
[7689.30s -> 7695.62s]  All right, so I can salvage just all junk.
[7695.62s -> 7699.74s]  And imagining this means that it's just unlocks new look on a salvage.
[7699.74s -> 7720.19s]  Oh, OK. Is that a stupid idea?
[7720.19s -> 7727.44s]  All right, let's just salvage this.
[7727.44s -> 7734.90s]  Oh, there we go. This is better.
[7734.90s -> 7736.66s]  Is it, though? No, it's not.
[7736.66s -> 7738.74s]  I want the willpower.
[7738.74s -> 7740.22s]  Came apart nicely.
[7740.22s -> 7747.00s]  OK. Prepare.
[7747.00s -> 7755.46s]  Upgrade. Can't really do anything here yet.
[7755.46s -> 7757.70s]  If you press P, you'll P.
[7757.74s -> 7762.82s]  That's made up and is an incredibly immature thing to say.
[7762.82s -> 7771.82s]  In fact, that's just that's just a very immature thing for you to say.
[7771.82s -> 7779.95s]  I'm not going to tolerate that.
[7779.95s -> 7785.34s]  Preveyor of curiosities.
[7785.34s -> 7789.52s]  Twenty five of this.
[7789.52s -> 7793.47s]  The curiosity is this gambling?
[7793.47s -> 7795.07s]  How do I get this? OK, this is gold.
