[0.57s -> 2.84s]  How are you doing?
[7039.35s -> 7041.35s]  What the fuck was that? All right, easy easy
[7042.31s -> 7044.31s]  Don't get struck. Don't get struck. Don't get struck. Go go go go
[7045.43s -> 7048.74s]  Right at the same exact spot too. Come on
[7051.06s -> 7053.06s]  All right, last try last try last try last try
[7058.06s -> 7060.86s]  We have to go up the water mountain and the lightning is right above you
[7069.53s -> 7071.53s]  No, but I have to jump. I can't just
[7075.02s -> 7077.50s]  This thing's not gonna hurt you. What am I concerned about?
[7078.06s -> 7088.90s]  All right, don't blow it. Have we figured out what the timer is actually for?
[7090.62s -> 7094.14s]  Or is it just there for some reason what's the 73 in the top?
[7095.34s -> 7096.30s]  Wait
[7096.30s -> 7098.86s]  It's not 73 lives. Is it?
[7099.02s -> 7100.70s]  What's the p?
[7100.70s -> 7103.88s]  All right, don't go fast because you have the ability to
[7104.76s -> 7107.90s]  There comes the lightning
[7107.90s -> 7110.87s]  Slow down
[7110.87s -> 7115.91s]  They look at the mat movement pattern. They move with the screen faster when you hit right
[7122.41s -> 7130.84s]  Oh my god
[7130.84s -> 7135.48s]  Stop doing that. Stop doing that. Stop doing that. Stop doing that. Stop doing that. I can't show that
[7136.12s -> 7143.93s]  I can't fucking show that. Um, I can't do that. No, I ain't gonna show this
[7144.01s -> 7145.93s]  I can't even look at the screen. I'm trying as hard as I can to get to the end
[7150.26s -> 7152.26s]  Oh my god, this is so this is impossible
[7152.74s -> 7155.37s]  You have no idea how hard this is
[7155.37s -> 7158.33s]  These things just started spawning from the right side of the screen and they're hitting me over and over again
[7158.33s -> 7163.91s]  I'm gonna die. I can't look at the screen. I'm doing this my eyes closed kind of i'm opening them every five. Okay, we're good
[7164.47s -> 7177.18s]  We're back here. We're good. So many things are attacking me at the same time. I can't believe you couldn't see that
[7179.90s -> 7190.94s]  My head hurts now
[7190.94s -> 7198.73s]  Oh my god, he just comes out of nowhere. He just comes out of nowhere. He just appears on the side of the screen
[7198.73s -> 7200.57s]  It starts shooting fire
[7200.57s -> 7206.73s]  What the fuck?
[7206.73s -> 7209.21s]  No, I wanted to do I want to see the
[7211.38s -> 7213.86s]  I ain't doing that flash the screen thing again. No way
[7215.05s -> 7215.93s]  Sorry
[7215.93s -> 7219.37s]  That was boot cat and after boot cat we're gonna go here
[7224.26s -> 7229.98s]  375 is pond pond volley pond pond volley
[7230.62s -> 7235.03s]  You got a link for me. I guess i'll give it a look and see what it is important. There's a dead update
[7235.03s -> 7242.47s]  Okay. Well, i'll give it a look see it's getting spammed. Um, it's just it's just cat boy germa. So be on the select screen
[7242.55s -> 7259.22s]  All right. Well, all right. No more links. No more links links are banned for now on pond volley boy. I like the background animals
[7263.45s -> 7267.03s]  pretty cute
[7267.03s -> 7270.15s]  Uh, that's this is hello kitty. That's uh
[7271.69s -> 7282.38s]  Carol the frog frog that's uh snoopy the dog and then that's little boy. Oh, it's a different language
[7282.78s -> 7284.78s]  We're gonna have to do the first option
[7286.60s -> 7288.60s]  I want to be uh caro
[7290.15s -> 7292.63s]  Yes, the computer is going to be snoopy
[7293.69s -> 7294.65s]  Yes
[7294.65s -> 7295.85s]  sure
[7295.85s -> 7297.05s]  sure
[7297.05s -> 7298.25s]  sure
[7298.25s -> 7301.42s]  Sure
[7301.42s -> 7303.58s]  There's a lot of menu options. Where are we?
[7305.40s -> 7307.40s]  Uh, all right. It's my turn
[7310.44s -> 7312.60s]  Just I just got killed. It just hurt me
[7316.49s -> 7319.69s]  Is that uh, for a second? I thought that was spelling i c u p at the bottom
[7319.69s -> 7325.53s]  I thought it was like our spell i c u p i cup. What did I that's what I thought that was
[7336.01s -> 7350.26s]  Where's the net? Isn't there usually a net? This isn't it's actually really not that bad. It's like cute but
[7351.20s -> 7356.38s]  Functionality wise it's kind of at a zero. Nice jumping hit. Okay. All right. There's a good volley
[7358.78s -> 7362.74s]  Oh
[7362.74s -> 7364.74s]  It's a baby game. There are no nets
[7380.30s -> 7382.54s]  This is actually a hello kitty game. I'm sure it is
[7390.46s -> 7396.57s]  One come on
[7396.57s -> 7402.71s]  Nope that hit me in the face fucking left. I
[7407.98s -> 7409.98s]  He's gonna wait. Why is there another player?
[7410.30s -> 7413.43s]  And it was allowed to bounce on his side
[7414.15s -> 7416.15s]  It was allowed to bounce on his side
[7416.93s -> 7419.32s]  Excuse me
[7419.32s -> 7421.72s]  Where's my point? Do I not get points for this?
[7422.36s -> 7438.36s]  Come on land and I still land twice on his side. That's unfair
[7439.16s -> 7443.98s]  the fairy
[7443.98s -> 7456.39s]  Yeah, she just dropped it on she just helped him
[7461.59s -> 7464.63s]  Oh, whatever. I don't care. I'm done with this fucking game. This game's stupid
[7470.68s -> 7477.37s]  468
[7477.37s -> 7482.74s]  Uh, this is called water pip
[7483.54s -> 7488.74s]  Water a water pip game idea by
[7490.15s -> 7502.54s]  Wait, that didn't say game develop by that said this is this person's idea. Um, what's that mean though game idea by
[7510.22s -> 7512.22s]  Holy shit, are you kidding me?
[7512.38s -> 7515.02s]  What a horrible idea what a terrible idea
[7516.50s -> 7519.86s]  It's tetris and that pipe shit. What an awful idea
[7523.94s -> 7536.55s]  It's a bad idea
[7536.55s -> 7541.43s]  Uh, I need to go. Oh my god. I lost wait. There's another
[7547.10s -> 7548.94s]  I don't like this
[7548.94s -> 7553.91s]  You guys know how much I hate this game. This game has haunted me since I was
[7556.68s -> 7561.72s]  This is actually a pretty cool idea if you think about it, but I can't do it. It's too much for me. I can't do it
[7562.44s -> 7582.22s]  I have 27 lunar ball go do a coffee break coffee break coffee break. What?
[7584.95s -> 7594.89s]  Coffee break coffee break what's going on? You guys want to go on a coffee break coffee break coffee break
[7596.23s -> 7600.79s]  It was it was one of the games. It said coffee break. Um
[7601.78s -> 7608.55s]  Oh pause button said coffee break. I didn't I didn't even look at the screen because I didn't even care
[7610.68s -> 7613.54s]  lunar ball
[7613.54s -> 7615.62s]  Up down round left right friction
[7616.60s -> 7633.24s]  Sure, it's pool. Um friction is
[7639.45s -> 7641.56s]  Oh, come on
[7641.56s -> 7643.56s]  I'm just playing but you have to get it in the order
[7644.12s -> 7653.32s]  I have to do this in one shot with two shots
[7654.04s -> 7656.86s]  How's that possible?
[7656.86s -> 7667.53s]  There it is. I don't get to
[7667.85s -> 7684.58s]  Resident sleeper. Yeah, I know you with a love pool or you hate pool. There's no in between
[7685.30s -> 7692.97s]  There's not like I oh I kind of like pool
[7693.05s -> 7696.33s]  No, no, no, you either love this and do this a lot or you hate doing this
[7696.97s -> 7703.34s]  And the idea of somebody saying hey, do you want to go like play pool is like god?
[7703.50s -> 7707.74s]  Please don't fucking ever ask me. Please. I hope no one ever asks me so I don't have to say yes
[7719.43s -> 7724.23s]  Uh, this game i'm done. I just wanted to hang out. Jesus
[7724.87s -> 7738.79s]  466 what do we got karaki the the karate kid
[7740.71s -> 7753.74s]  Licensed by nintendo of america karate tournament first round chances remaining free. Oh my god. I fucking annihilated this guy
[7755.19s -> 7758.63s]  Was how old were they? What's the who am I what?
[7759.88s -> 7761.88s]  Holy shit, this is unfair
[7762.49s -> 7766.33s]  This is like a 30 year old in like the 12 year old competition. You got to get this guy out of here
[7767.03s -> 7774.95s]  semi-final round
[7774.95s -> 7780.55s]  Final round of the tournament this person's in a suit
[7784.12s -> 7786.12s]  Holy shit, they're strong. Fuck. I lost
[7788.95s -> 7792.98s]  Okay, let's go
[7795.45s -> 7796.01s]  Oh, yeah
[7796.01s -> 7802.17s]  Hey, you want to get fucking original mortal combat strategy to make your friends fucking scream in your face and leave the house
[7804.25s -> 7811.13s]  You let you you you you you i'm fucking leaving like i'm not coming back. Wait side scroller
[7812.17s -> 7826.09s]  I thought it was just a tournament. How many guys had uh the
[7826.81s -> 7827.45s]  Here's all right
[7827.45s -> 7832.57s]  There's a few just a few you know ground rules that are played that are put in place when you play video against your friends, right?
[7833.29s -> 7836.49s]  Anybody ever played a sports game like a baseball with their friends?
[7837.13s -> 7838.65s]  one-on-one
[7838.65s -> 7843.77s]  And you have to make the rule you are only allowed to throw strikes because throwing balls
[7844.33s -> 7848.49s]  Was impossible to read and you would miss every time if they threw it way far away
[7851.10s -> 7853.90s]  No leg sweeps in mortal combat or you automatically lose
[7859.13s -> 7862.25s]  Like if you if you do a leg sweep in mortal combat I win the match
[7863.05s -> 7866.49s]  If you throw a ball in like some of those old nintendo super nintendo games
[7867.05s -> 7871.69s]  That were baseball you automatically lose like because you they're unhittable and you can't even tell that they're coming in as ball
[7875.43s -> 7877.43s]  Uh, uh golden eye
[7877.43s -> 7879.43s]  Nobody is allowed to play odd job
[7881.35s -> 7883.35s]  You gotta put down the video game ground rules
[7889.88s -> 7893.72s]  Oh, i'm all of a sudden i'm gonna get trued on that one. Where's that? Why's that lady up in a tree? What?
[7894.20s -> 7896.84s]  I'm gonna get trued on that one. You're gonna true that one
[7897.48s -> 7898.92s]  Not the other one
[7898.92s -> 7909.40s]  i'm dead
[7909.40s -> 7913.85s]  Daniel san in okinawa chance. Oh, okay. I got one more life
[7914.41s -> 7916.97s]  This one's actually pretty fun
[7916.97s -> 7918.97s]  This is probably just the actual game
[7920.42s -> 7921.59s]  but
[7921.59s -> 7922.71s]  uh
[7922.71s -> 7925.98s]  Did they do the movie backwards?
[7925.98s -> 7942.07s]  Doesn't the tournament happen like in the end of the movie the popular one to not seem like a mortal combat scrub
[7945.99s -> 7947.91s]  um, i'm sorry, but
[7947.91s -> 7951.11s]  The leg sweep in mortal combat like one two and three
[7952.30s -> 7963.03s]  Swing the hammer. All right, if anybody trains like that, that's what wouldn't happen
[7963.51s -> 7967.72s]  I know you like to watch that in movies and tv shows all the extreme training regiment
[7967.72s -> 7971.08s]  Well, you have to like dodge like all these things. Look at all. It's a knife. It's gonna kill you
[7972.38s -> 7974.22s]  You're dead. You're gonna die
[7974.22s -> 7975.98s]  dodge the pendulum
[7975.98s -> 7980.06s]  I'm gonna like you're gonna go through like the fucking football training thing and smash into stuff
[7980.14s -> 7982.70s]  No, just fucking do push-ups and like kick into the mirror
[7983.50s -> 7996.79s]  Please relax
[7996.79s -> 8000.55s]  Kick no kick into the mirror not kick the mirror like watch yourself kicking
[8000.71s -> 8002.55s]  To see how good the form is
[8002.55s -> 8006.01s]  I need to be level one at least come on
[8013.61s -> 8025.06s]  You broke the mirror. I didn't say to kick the mirror ice block break. Oh, I gotta go to the hospital
[8025.14s -> 8026.90s]  I gotta go to the hospital. Oh, why did I do that?
[8026.90s -> 8030.02s]  Why do we do this shit? I could have just fucking done push-ups and kicked in the mirror
[8031.54s -> 8042.01s]  Can I take like six to eight weeks for this to heal?
[8043.42s -> 8044.86s]  maybe longer
[8044.86s -> 8056.52s]  This person throwing I like the bonus games are more fun than the actual game. I just want to play those
[8058.20s -> 8060.20s]  Get out of my fucking way, please
[8060.36s -> 8062.31s]  bonus game
[8062.39s -> 8063.94s]  Damn it
[8063.94s -> 8068.70s]  one enemy
[8068.70s -> 8073.46s]  Get out of here typhoon strikes
[8076.95s -> 8078.95s]  The bird's flying backwards
[8080.20s -> 8081.56s]  Okay, I can't
[8081.56s -> 8095.53s]  Oh wait, it's supposed to be windy. I'm doing okay. I'm okay. I'm doing all right. I wanted a mini game
[8104.76s -> 8106.04s]  Is this guy okay?
[8106.04s -> 8116.07s]  He's got full health for that
[8116.07s -> 8124.60s]  Mini game in the middle of a typhoon. Yeah. Well, it'll be all right. You guys said coffee break now
[8124.60s -> 8126.60s]  I like want to take a coffee break
[8126.60s -> 8129.72s]  Get some water or something and pee. What's the last time I peed? Anybody know?
[8130.52s -> 8134.52s]  When I when was last time I peed which one he knows
[8136.07s -> 8138.07s]  Four hours ago. I don't know
[8139.22s -> 8140.42s]  Something like that
[8140.42s -> 8150.14s]  Just came back 30 minutes ago. He's still playing this. I haven't been in this for 30 minutes. I've been in this like 12
[8152.66s -> 8154.90s]  Mini game right here. It's an open door. Let me in
[8156.36s -> 8158.36s]  Yes, okay chopsticks fly catch
[8164.50s -> 8176.86s]  Come on get over here
[8178.17s -> 8189.99s]  Oh, I didn't get one shit. I got them all I've had enough of the uh, the yeah, okay
[8189.99s -> 8191.83s]  That's enough. I had enough the karate kid
[8191.83s -> 8197.08s]  All right, let's take a quick break. I'll be right back
[8197.08s -> 8405.53s]  Get some water. I'll see you guys in like two or three minutes. How do you do?
[8405.93s -> 8410.57s]  You guys ready for some more uh classic video games?
[8412.23s -> 8423.94s]  Uh, me too. How what happened one guy germ of fireman. My cousin drew this last christmas and I just found it
[8428.41s -> 8439.82s]  That's so cool. Yeah, that's cool. All right, let's get back to it. Hope you enjoyed the artwork head to it
[8440.22s -> 8445.34s]  We'll check that one after
[8445.34s -> 8447.34s]  Okay, uh, where are we gonna go?
[8447.98s -> 8449.37s]  Hmm
[8449.37s -> 8453.45s]  I think we'll do a couple more generated ones and then we'll pick some out too
[8453.61s -> 8462.98s]  So we'll do five sixty five and then we'll uh, we'll go through and pick some up five six five is destroy
[8465.38s -> 8467.38s]  dig dog two
[8469.00s -> 8472.58s]  All right, destroy destroy one
