[3.13s -> 4.33s]  All right, let's go.
[6359.42s -> 6361.58s]  It looks like we have four farmers helping us.
[6361.58s -> 6362.30s]  What?
[6362.30s -> 6365.82s]  The Gorgons have come.
[6366.46s -> 6369.74s]  Silence falls, emerging in their tortured shapes.
[6369.74s -> 6373.66s]  The beasts only breathe and blink their oozing eyes.
[6375.76s -> 6377.76s]  How should the defenders respond?
[6379.04s -> 6379.92s]  Along us, I...
[6380.72s -> 6383.04s]  Okay.
[6383.04s -> 6384.40s]  Charge into battle and fight them.
[6384.40s -> 6386.56s]  Use our knowledge of the land and harry their approach
[6386.56s -> 6388.96s]  or stay here until the last moment and fight with cunning.
[6390.72s -> 6392.48s]  I mean, my vote's going to be on that.
[6392.48s -> 6393.04s]  I'd...
[6393.04s -> 6395.04s]  We'll just jump out and surprise them
[6395.04s -> 6396.96s]  and then we'll get the jump on them.
[6396.96s -> 6399.38s]  Use any excuse to play hide and seek.
[6399.38s -> 6401.54s]  Yeah, he loves hide and seek, dude.
[6401.54s -> 6402.77s]  Is it?
[6402.77s -> 6404.45s]  Concealed amid their surroundings,
[6404.45s -> 6406.85s]  they elude the frustrated eyes of their enemy.
[6406.85s -> 6410.94s]  Choosing the moment to strike is up to them.
[6410.94s -> 6411.82s]  Wait for it.
[6411.82s -> 6419.70s]  Okay, we all begin in stealth and we have flanking attacks.
[6419.70s -> 6422.13s]  Nice.
[6422.13s -> 6424.29s]  Oh my god.
[6424.29s -> 6426.13s]  There are so many enemies.
[6426.13s -> 6432.78s]  So I think we are actually going to be controlling the farmers too, I think.
[6435.71s -> 6436.99s]  There's one up there.
[6437.07s -> 6439.70s]  Are there any in this room or no?
[6439.70s -> 6440.34s]  No, no, no.
[6440.34s -> 6440.74s]  We...
[6440.74s -> 6443.97s]  I think they were going to be coming from the top of the screen.
[6443.97s -> 6444.53s]  Oh, no, they're not.
[6444.53s -> 6445.73s]  There's some below us too.
[6445.73s -> 6446.21s]  Oh, shit.
[6446.21s -> 6446.53s]  Where?
[6446.53s -> 6447.49s]  Oh, yeah, they're out down there.
[6447.49s -> 6447.81s]  All right.
[6447.81s -> 6448.69s]  I'm gonna...
[6448.69s -> 6451.82s]  I'm gonna make my way over there.
[6451.82s -> 6452.46s]  Oh, god.
[6452.46s -> 6453.02s]  Okay.
[6453.02s -> 6454.21s]  There's a huge guy over here.
[6454.21s -> 6455.57s]  Oh, there's a lot...
[6455.57s -> 6456.69s]  Oh, wait, where?
[6456.69s -> 6457.41s]  On the right.
[6457.41s -> 6459.23s]  Is he down by me?
[6459.23s -> 6460.19s]  Oh, yeah, I see him.
[6460.19s -> 6462.59s]  You want me to move to intercept?
[6462.59s -> 6465.23s]  We should probably prioritize this guy
[6465.23s -> 6466.75s]  because I think there's enough...
[6466.75s -> 6468.32s]  We have barricades, right?
[6468.64s -> 6472.45s]  Sacrifice as many villagers as you can.
[6472.45s -> 6476.27s]  Wait, are you throwing the villages at the...
[6476.27s -> 6477.15s]  Oh, fuck!
[6477.15s -> 6478.27s]  I didn't mean to do that.
[6478.27s -> 6478.91s]  Oh, okay.
[6478.91s -> 6479.15s]  Yeah.
[6479.95s -> 6481.07s]  I thought I was...
[6481.07s -> 6481.71s]  All right, all right.
[6481.71s -> 6482.69s]  We're okay.
[6482.69s -> 6483.17s]  We're okay.
[6483.17s -> 6487.07s]  I didn't realize I had all control of these people.
[6487.07s -> 6489.07s]  We just can send them anywhere, really.
[6489.07s -> 6493.87s]  We have control.
[6493.87s -> 6495.71s]  Yeah, use them to block the barricades.
[6495.71s -> 6496.19s]  Just have...
[6496.19s -> 6496.83s]  Yeah, yeah, yeah.
[6496.83s -> 6497.23s]  Just have...
[6497.23s -> 6498.27s]  File the bodies.
[6498.27s -> 6499.07s]  Oh, no.
[6499.07s -> 6499.79s]  Oh, my god.
[6501.55s -> 6502.19s]  Wait, what?
[6502.19s -> 6502.91s]  They just jumped over?
[6502.91s -> 6503.63s]  I intercepted him.
[6504.19s -> 6504.43s]  Nice.
[6505.15s -> 6509.28s]  Uh-oh.
[6509.28s -> 6509.52s]  Okay.
[6510.78s -> 6511.90s]  They come from inside the houses.
[6511.90s -> 6513.34s]  Oh, my god.
[6513.34s -> 6514.30s]  There's so many.
[6515.82s -> 6517.98s]  Uh, okay.
[6519.54s -> 6519.78s]  I...
[6520.58s -> 6523.63s]  I'm going to infuse the cart.
[6523.63s -> 6527.92s]  I'm going to try to do some damage over here.
[6527.92s -> 6529.28s]  I'm going to double infuse it.
[6529.84s -> 6530.56s]  No, I'm not.
[6530.56s -> 6533.34s]  See if I can hurt these guys over here.
[6533.34s -> 6537.66s]  Shit, it's not far enough.
[6537.66s -> 6544.19s]  Oh, there we go.
[6544.19s -> 6545.79s]  That didn't hurt that much.
[6545.79s -> 6550.16s]  Wait, which one did you hit?
[6550.16s -> 6551.04s]  Oh, back over there.
[6551.04s -> 6553.36s]  I'm going to move, except the big guy, I think.
[6553.36s -> 6557.17s]  Okay.
[6560.96s -> 6562.64s]  Uh, blocked.
[6562.64s -> 6562.96s]  Uh-oh.
[6563.76s -> 6564.88s]  He's going to eat you.
[6564.88s -> 6567.84s]  Bring this guy down here.
[6568.72s -> 6571.26s]  Yeah.
[6571.26s -> 6571.66s]  Good shot.
[6571.66s -> 6572.06s]  Good shot.
[6575.89s -> 6576.37s]  Oh, no.
[6577.49s -> 6578.37s]  No, kidding.
[6578.37s -> 6579.17s]  He's going to die.
[6580.64s -> 6582.16s]  There are a lot of people down here.
[6582.16s -> 6583.44s]  There's four enemies down here.
[6583.44s -> 6584.56s]  How many are up top?
[6584.56s -> 6585.52s]  There's two?
[6585.52s -> 6585.76s]  One?
[6586.32s -> 6587.33s]  There's one left.
[6588.21s -> 6589.25s]  Thomas got grabbed.
[6589.25s -> 6591.60s]  Oh, what do I do?
[6591.60s -> 6594.14s]  Can you run or are you rooted?
[6594.14s -> 6594.54s]  I don't think...
[6594.54s -> 6595.02s]  Am I not?
[6595.02s -> 6595.50s]  I don't know.
[6595.50s -> 6595.98s]  I don't...
[6595.98s -> 6596.62s]  I can't get over there.
[6599.60s -> 6601.49s]  Can I go in the door?
[6601.49s -> 6602.13s]  Can you...
[6602.13s -> 6602.93s]  Yeah.
[6602.93s -> 6604.69s]  Open the door and then run through.
[6604.69s -> 6604.93s]  All right.
[6604.93s -> 6606.94s]  I'm out of here.
[6606.94s -> 6608.06s]  I'm not fucking with that.
[6608.06s -> 6609.26s]  Oh, zoinks.
[6609.26s -> 6611.60s]  Yeah.
[6611.60s -> 6614.40s]  You guys do have like a Shaggy and Scooby vibe going on.
[6614.40s -> 6621.01s]  Shit.
[6621.01s -> 6622.05s]  Why did I shoot?
[6622.05s -> 6622.61s]  Oh, my God.
[6622.61s -> 6623.57s]  I'm an idiot.
[6623.57s -> 6630.35s]  Here we go.
[6630.35s -> 6630.67s]  All right.
[6630.67s -> 6632.03s]  I feel a little bit safer.
[6632.03s -> 6633.23s]  Okay.
[6633.23s -> 6636.98s]  Hard to tell who hasn't done things.
[6636.98s -> 6637.46s]  That's right.
[6637.46s -> 6638.10s]  It would just...
[6638.10s -> 6639.14s]  If someone hasn't acted,
[6639.14s -> 6641.54s]  it would just jump to them once you've like had the turn.
[6641.54s -> 6642.10s]  I think it's...
[6642.10s -> 6643.86s]  Their portrait is not...
[6644.82s -> 6645.78s]  It's just kind of lit up.
[6645.78s -> 6646.10s]  Yeah.
[6646.10s -> 6652.86s]  Let's get Katie to safety.
[6652.86s -> 6653.26s]  Is that right?
[6653.98s -> 6654.46s]  Oh, no.
[6654.46s -> 6654.86s]  Uh-oh.
[6657.23s -> 6658.03s]  Lost Staya.
[6658.03s -> 6659.07s]  Don't think we're...
[6659.07s -> 6659.87s]  Oh, no.
[6659.87s -> 6660.43s]  That's bad.
[6663.15s -> 6663.31s]  Okay.
[6663.31s -> 6667.20s]  Can you throw that whole barricade at them or something?
[6667.20s -> 6668.88s]  I can't select the barricade.
[6668.88s -> 6669.60s]  Let me see if I can just...
[6669.60s -> 6670.88s]  Let me walk back over here.
[6670.88s -> 6673.74s]  Okay.
[6673.74s -> 6674.22s]  I can...
[6674.22s -> 6674.62s]  All right.
[6674.62s -> 6675.10s]  I can...
[6675.74s -> 6679.97s]  I'm going to try to throw the barricade like you said.
[6679.97s -> 6680.29s]  All right.
[6680.85s -> 6681.09s]  Uh...
[6682.21s -> 6682.69s]  Blast.
[6683.49s -> 6685.74s]  What does this do?
[6685.74s -> 6687.89s]  All right.
[6687.89s -> 6688.37s]  I can do this.
[6688.37s -> 6689.33s]  This is going to hurt a lot.
[6689.33s -> 6694.45s]  Oh, nice.
[6694.45s -> 6695.73s]  Although I did get rid of the barricade.
[6695.73s -> 6696.53s]  I feel like that's bad.
[6698.35s -> 6699.87s]  Don't know if that's a good idea or not.
[6699.87s -> 6701.55s]  We turned our defense into offense.
[6701.55s -> 6701.87s]  Oh, my God.
[6701.87s -> 6703.15s]  There's a giant furnace.
[6703.23s -> 6706.59s]  I'm going to put her in front of you so you don't die.
[6706.59s -> 6708.51s]  Yeah, I need to move towards this fire
[6708.51s -> 6711.89s]  because I want to pull up next turn.
[6711.89s -> 6712.13s]  Wait.
[6714.66s -> 6714.90s]  Nice.
[6715.70s -> 6718.86s]  Oh, he was untouchable because I killed him.
[6718.86s -> 6723.86s]  Cool.
[6723.86s -> 6724.34s]  Uh-oh.
[6724.34s -> 6724.98s]  My blindness.
[6725.62s -> 6726.66s]  I can't select this.
[6726.66s -> 6727.14s]  Shit.
[6727.14s -> 6727.46s]  Sorry.
[6732.78s -> 6733.10s]  Ooh.
[6740.06s -> 6743.02s]  I love how the mage just kind of breaks objects in the world
[6743.02s -> 6743.90s]  and throws it at people.
[6751.81s -> 6752.69s]  Actually, that was...
[6752.69s -> 6753.49s]  We did a pretty good job.
[6754.37s -> 6755.25s]  Yeah, that was really good.
[6756.77s -> 6757.25s]  Thomas.
[6758.46s -> 6759.42s]  Level up.
[6759.42s -> 6761.74s]  Thomas has grown stronger.
[6763.55s -> 6763.87s]  OK.
[6764.59s -> 6767.36s]  I like this one.
[6768.00s -> 6774.93s]  Naturalist compulsion.
[6776.85s -> 6777.25s]  Oh, yeah.
[6777.25s -> 6778.05s]  You can move an enemy.
[6779.86s -> 6780.34s]  I like that.
[6781.06s -> 6782.34s]  I think that's very useful.
[6782.90s -> 6784.34s]  Cool.
[6784.34s -> 6784.66s]  All right.
[6784.66s -> 6786.66s]  So we quelled the invasion.
[6788.42s -> 6789.94s]  Now we're just going to finish building the bridge.
[6789.94s -> 6791.14s]  Let's finish building that bridge.
[6796.98s -> 6797.30s]  Yep.
[6798.18s -> 6799.86s]  I can't believe that's what we actually were doing.
[6801.82s -> 6803.02s]  Build the bridge for the enemy.
[6803.02s -> 6803.26s]  Yeah.
[6809.54s -> 6810.82s]  Year five.
[6810.82s -> 6812.46s]  OK.
[6812.46s -> 6813.26s]  So that's a...
[6813.26s -> 6815.50s]  It's a strength full or we can patrol and get it down.
[6815.50s -> 6817.74s]  I feel like we could maybe handle a strength full though.
[6817.74s -> 6818.62s]  I think so.
[6818.62s -> 6821.09s]  I think we're gods among men.
[6821.09s -> 6822.77s]  We're in year five at this point
[6822.77s -> 6825.57s]  because Alongus took us on a two-year round trip.
[6825.57s -> 6827.34s]  Sorry.
[6827.34s -> 6828.38s]  We learned a lot.
[6828.38s -> 6828.94s]  We...
[6828.94s -> 6829.50s]  Yeah, we did.
[6830.14s -> 6831.26s]  Got some stuff.
[6831.26s -> 6834.18s]  All right.
[6834.18s -> 6835.70s]  You finally get to be in the game.
[6835.70s -> 6837.49s]  So that's good.
[6837.49s -> 6837.65s]  Yeah.
[6837.65s -> 6837.89s]  Look.
[6837.89s -> 6840.70s]  I'm there.
[6840.70s -> 6843.34s]  Uh, you want me to keep going?
[6843.34s -> 6844.35s]  You were...
[6844.35s -> 6844.83s]  I was...
[6844.83s -> 6845.92s]  I'm chewing.
[6845.92s -> 6848.96s]  A ridge of limestone wraps the edge of Ghost Ring.
[6848.96s -> 6854.03s]  Find a way from this direction and you'd have the high ground.
[6854.03s -> 6855.07s]  You'd have surprise.
[6855.07s -> 6858.75s]  I don't know.
[6858.75s -> 6863.42s]  Looks impossible.
[6863.42s -> 6864.54s]  Possibly.
[6864.54s -> 6871.42s]  But limestone is a rock full of surprises.
[6871.42s -> 6876.29s]  After a few dead ends and false hopes.
[6876.29s -> 6877.87s]  I like that little snake.
[6877.87s -> 6882.91s]  Finally, a promising channel in the stone stretches out in the right direction.
[6882.91s -> 6886.83s]  Probably carved by an ancient stream.
[6886.83s -> 6892.59s]  See, limestone is a note worthy that when repeatedly exposed to water.
[6892.59s -> 6894.94s]  What?
[6894.94s -> 6897.12s]  Seems sturdy enough.
[6897.12s -> 6898.32s]  I think you just got trapped.
[6898.32s -> 6902.24s]  You got lost in a thought there and we just kind of just didn't even think to interject.
[6902.24s -> 6904.48s]  Yeah, his wolfy ramblings.
[6904.48s -> 6906.53s]  You doing okay back there?
[6906.53s -> 6913.92s]  It's kind of tight here, isn't it?
[6913.92s -> 6916.24s]  Not all of us are made of wet noodles and silk.
[6916.24s -> 6916.96s]  Some of us got...
[6918.00s -> 6921.39s]  Warrior shoulders.
[6921.39s -> 6925.81s]  Hey, perfect.
[6925.81s -> 6927.09s]  Here we are.
[6927.09s -> 6929.57s]  Couldn't ask for a better spot to emerge.
[6929.57s -> 6933.68s]  Just one last squeeze and it's a straight shot to Ghost Ring.
[6933.68s -> 6939.20s]  I mean, I could ask for a slightly better spot to emerge.
[6940.99s -> 6942.75s]  Maybe one that was a little bigger.
[6949.01s -> 6950.53s]  You're so hard for you to maneuver.
[6959.41s -> 6960.21s]  Should we pull him?
[6960.21s -> 6962.85s]  Should we grab him and pull him through?
[6962.85s -> 6963.81s]  You got this.
[6963.81s -> 6964.85s]  You're a panther.
[6965.49s -> 6966.29s]  You're...
[6966.29s -> 6970.42s]  If anyone asks, tell them I went down honorably.
[6970.42s -> 6975.68s]  You're not gonna die here, are you?
[6975.68s -> 6982.11s]  I have a 43% chance to push through or I'm literally gonna go around.
[6982.11s -> 6982.99s]  We have to push through.
[6982.99s -> 6987.12s]  I'm too stubborn.
[6987.12s -> 6988.88s]  You sure there's nothing we can do?
[6988.88s -> 6990.90s]  Standing back might be best.
[6994.93s -> 6999.78s]  And then twists and tightens in each turn.
[6999.78s -> 7000.98s]  I hope you lose the other eye.
[7002.70s -> 7011.23s]  Was damn right for a pubic.
[7011.23s -> 7012.03s]  All right, we did it.
[7013.36s -> 7014.24s]  Kill them.
[7014.24s -> 7015.92s]  Oh, our crit chance is doubled.
[7021.01s -> 7021.73s]  All right.
[7021.73s -> 7025.41s]  Also, yes, something you guys might not be aware of is if you stand next to each other,
[7025.41s -> 7027.89s]  you get like a defensive bonus.
[7027.89s -> 7029.17s]  You'll see like a little shield up here.
[7029.17s -> 7029.97s]  Oh, that's true.
[7031.17s -> 7031.97s]  Cohesiveness?
[7035.26s -> 7035.58s]  Yeah.
[7039.25s -> 7040.53s]  And I started blasting.
[7049.63s -> 7051.07s]  Oh, scalding rain.
[7053.02s -> 7054.54s]  Oh, this is gonna be insane.
[7054.54s -> 7054.78s]  All right.
[7054.78s -> 7055.66s]  Who am I doing this to?
[7056.82s -> 7057.06s]  You.
[7061.02s -> 7061.82s]  That was a pretty cool move.
[7061.82s -> 7062.54s]  It's because it's a well.
[7063.42s -> 7065.94s]  Oh, you heat it up with the fire stuff.
[7067.46s -> 7075.22s]  Okay.
[7075.22s -> 7080.06s]  Let's do it again.
[7080.06s -> 7081.42s]  Time for my secret move.
[7082.14s -> 7087.95s]  What does that do?
[7088.51s -> 7090.42s]  This makes you be able to move fast.
[7090.42s -> 7092.18s]  It's like an RP thing.
[7093.22s -> 7095.22s]  We get plus two movement, I think, when he howls.
[7096.02s -> 7096.58s]  That's helpful.
[7099.92s -> 7106.74s]  I'm going to do this fucking bite it.
[7109.78s -> 7114.62s]  It was a pig after all.
[7114.62s -> 7117.25s]  Oh, I was just keep doing it.
[7118.30s -> 7120.83s]  Oh, he blocked water.
[7121.47s -> 7121.95s]  Bullshit.
[7122.67s -> 7127.66s]  There's a lot.
[7127.66s -> 7127.90s]  Nice.
[7128.78s -> 7130.83s]  All right.
[7136.70s -> 7139.10s]  Now, I wish my name was cool like dogwood.
[7139.10s -> 7141.18s]  A snake stone sash.
[7141.82s -> 7143.50s]  Dodge plus five dodge.
[7144.30s -> 7147.86s]  Are you going?
[7147.86s -> 7150.34s]  My dodge is criminally low because I've got my big armor.
[7150.34s -> 7153.78s]  So I think it's kind of pointless for me to have it if Thomas wants it.
[7153.78s -> 7154.26s]  I'll take it.
[7155.06s -> 7155.30s]  Yeah.
[7160.22s -> 7161.34s]  Calamity.
[7161.34s -> 7163.36s]  All right.
[7163.36s -> 7165.12s]  Now, there's hordes of raccoons.
[7167.36s -> 7171.04s]  Yeah, the Gorgons are absolutely stacked right now.
[7172.03s -> 7173.26s]  Yeah, they are.
[7173.26s -> 7173.58s]  Okay.
[7173.58s -> 7176.62s]  Do you want to secure ghost ring to find an item or should we press on?
[7177.97s -> 7178.45s]  Oh, look.
[7179.01s -> 7181.01s]  All of the achievements have been done.
[7181.01s -> 7184.61s]  We can now assault life from where we can go all the way back.
[7184.61s -> 7185.09s]  Should we go?
[7185.89s -> 7187.17s]  I'd love a walk.
[7187.17s -> 7187.57s]  I think.
[7189.65s -> 7190.85s]  Yeah, let's go for it.
[7190.85s -> 7192.61s]  Do we want to get some items before we go?
[7193.57s -> 7194.93s]  By like securing.
[7194.93s -> 7196.61s]  I mean, there's no harm in securing, right?
[7197.17s -> 7199.36s]  Yeah, it's just a little bit more time passes.
[7199.36s -> 7199.76s]  It's okay.
[7200.32s -> 7202.24s]  I'm in the mood for some scaring and discovery.
[7202.24s -> 7204.08s]  We can sit in this place right as we go, can't we?
[7205.70s -> 7205.94s]  All right.
[7205.94s -> 7207.14s]  Yeah, let's find an item.
[7207.14s -> 7212.45s]  Might as well.
[7212.45s -> 7215.25s]  32 days.
[7216.05s -> 7217.01s]  That's a long time.
[7224.03s -> 7224.99s]  Keep your heroes busy.
[7225.71s -> 7226.98s]  Oh, we're not.
[7226.98s -> 7227.38s]  Okay.
[7227.38s -> 7227.86s]  There we go.
[7228.50s -> 7229.06s]  Oh, I see.
[7234.05s -> 7234.77s]  Oh, God.
[7235.09s -> 7235.33s]  Okay.
[7236.37s -> 7237.81s]  A little scary, but that's okay.
[7237.81s -> 7238.61s]  I think we can handle it.
[7239.33s -> 7239.57s]  Yeah.
